date,symbol,decision_label,confidence_score,confidence_grade,close_at_signal,close_5d_later,return_5d_pct,was_correct
2026-06-21,اهرم,Avoid Entry Now - Overbought,55,C,,,,
2026-06-21,شستا,Avoid Entry Now - Overbought,65,B,,,,
2026-06-21,خساپا,Entry Candidate,100,A,,,,
2026-06-21,وغدیر,Entry Candidate,74,B,,,,
2026-06-21,فارس,Entry Candidate,92,A,,,,
2026-06-21,شپنا,Avoid Entry Now - Overbought,37,D,,,,
2026-06-21,خودرو,Watch - Needs Volume Confirmation,67,B,,,,
2026-06-21,کچاد,Watch Only,38,D,,,,
2026-06-21,شپدیس,Watch Only,35,D,,,,
2026-06-21,نارنج اهرم,Missing Technical Data,98,A,46516.0,,,
2026-06-21,وتجارت,Avoid Entry Now - Overbought,58,C,644.0,,,
2026-06-21,وبصادر,Avoid Entry Now - Overbought,88,A,715.0,,,
2026-06-21,نوری,Watch - Needs Volume Confirmation,61,C,59990.0,,,
2026-06-21,شبندر,Avoid Entry Now - Overbought,43,D,11620.0,,,
2026-06-21,فملی,Avoid Entry Now - Overbought,53,C,22380.0,,,
2026-06-21,کگل,Watch Only,34,D,2109.0,,,
2026-06-21,بیدار,Avoid Entry Now - Overbought,58,C,34763.0,,,
2026-06-21,وبملت,Wait for Pullback,47,D,1364.0,,,
2026-06-21,موج,Avoid Entry Now - Overbought,53,C,55996.0,,,
2026-06-21,وشهرح,Watch Only,61,C,1520.0,,,
2026-06-21,وهنر,Watch Only,58,C,3389.0,,,
2026-06-21,غشان,Avoid Entry Now - Overbought,68,B,7560.0,,,
2026-06-21,فنفت,Entry Candidate,90,A,3814.0,,,
2026-06-21,تاپكيش,Missing Technical Data,0,F,,,,
2026-06-21,برليان,Missing Technical Data,0,F,,,,
2026-06-21,ثهام,Avoid Entry Now - Overbought,58,C,67986.0,,,
2026-06-21,اپال,Entry Candidate,90,A,9780.0,,,
2026-06-21,ميهن,Missing Technical Data,0,F,,,,
2026-06-21,بپاس,Avoid Entry Now - Overbought,68,B,7330.0,,,
2026-06-21,بپويا,Missing Technical Data,0,F,,,,
2026-06-21,رتاپ,Watch - Needs Volume Confirmation,83,A,5440.0,,,
2026-06-21,خنور,Watch Only,88,A,8800.0,,,
2026-06-21,آميتيس,Missing Technical Data,0,F,,,,
2026-06-21,دزهراوي,Missing Technical Data,0,F,,,,
2026-06-21,گشان,Avoid Entry Now - Overbought,68,B,21600.0,,,
2026-06-21,كيسون,Missing Technical Data,0,F,,,,
2026-06-21,كمينا,Missing Technical Data,0,F,,,,
2026-06-21,غگرجي,Missing Technical Data,0,F,,,,
2026-06-21,هيبريد,Missing Technical Data,0,F,,,,
